pfam_id,ppa_locus,evalue_full_seq,Description
14-3-3|PF00244.21,ppa_stranded_DN29292_c0_g1_i1,1.20E-99,14-3-3
GCP_N_terminal|PF17681.2,ppa_stranded_DN29452_c1_g1_i2,8.70E-16,Gamma
GCS|PF03074.17,PPA10233,8.30E-136,Glutamate-cysteine
GCV_H|PF01597.20,ppa_stranded_DN24416_c0_g1_i2,0.00085,Glycine
GCV_T|PF01571.22,ppa_stranded_DN16537_c0_g1_i1,1.20E-05,Aminomethyltransferase
GCV_T|PF01571.22,PPA18998,9.40E-84,Aminomethyltransferase
GCV_T|PF01571.22,PPA35641,4.60E-74,Aminomethyltransferase
GDA1_CD39|PF01150.18,PPA00558,1.80E-125,GDA1/CD39
GDA1_CD39|PF01150.18,PPA02070,6.20E-65,GDA1/CD39
GDC-P|PF02347.17,ppa_stranded_DN27335_c0_g1_i1,3.80E-193,Glycine
GDI|PF00996.19,ppa_stranded_DN24097_c0_g1_i1,2.60E-40,GDP
GDI|PF00996.19,PPA16733,8.70E-216,GDP
GDNF|PF02351.17,ppa_stranded_DN30080_c0_g1_i2,2.60E-09,GDNF/GAS1
GDNF|PF02351.17,PPA35581,7.30E-06,GDNF/GAS1
GDP_Man_Dehyd|PF16363.6,isopolya.5614.1,7.70E-156,GDP-mannose
GDP_Man_Dehyd|PF16363.6,ppa_stranded_DN17395_c0_g1_i1,1.20E-12,GDP-mannose
GDP_Man_Dehyd|PF16363.6,ppa_stranded_DN21901_c0_g1_i1,1.80E-58,GDP-mannose
GDP_Man_Dehyd|PF16363.6,PPA00050,3.30E-35,GDP-mannose
GDP_Man_Dehyd|PF16363.6,PPA01693,5.50E-07,GDP-mannose
GDP_Man_Dehyd|PF16363.6,PPA17361,3.50E-59,GDP-mannose
GDP_Man_Dehyd|PF16363.6,PPA19343,2.50E-55,GDP-mannose
GDP_Man_Dehyd|PF16363.6,PPA36997,9.60E-28,GDP-mannose
GDP_Man_Dehyd|PF16363.6,PPA40163,6.50E-57,GDP-mannose
GDPD|PF03009.18,ppa_stranded_DN26264_c0_g1_i1,2.20E-67,Glycerophosphoryl
GDPD|PF03009.18,ppa_stranded_DN30418_c0_g1_i3,7.50E-38,Glycerophosphoryl
GDPD|PF03009.18,PPA15850,5.00E-41,Glycerophosphoryl
GDPD|PF03009.18,PPA38524,1.50E-53,Glycerophosphoryl
Ge1_WD40|PF16529.6,PPA11441,2.40E-40,WD40
Gelsolin|PF00626.23,Iso_D.13278.1,6.80E-13,Gelsolin
Gelsolin|PF00626.23,ppa_stranded_DN18328_c0_g2_i1,6.80E-62,Gelsolin
Gelsolin|PF00626.23,ppa_stranded_DN20678_c0_g1_i1,3.80E-55,Gelsolin
Gelsolin|PF00626.23,ppa_stranded_DN21860_c0_g1_i2,3.60E-49,Gelsolin
Gelsolin|PF00626.23,ppa_stranded_DN23131_c0_g1_i1,1.40E-76,Gelsolin
Gemin6|PF06372.13,ppa_stranded_DN16557_c0_g1_i1,8.20E-16,Gemin6
Gemin7|PF11095.9,ppa_stranded_DN24114_c0_g1_i1,3.90E-18,Gem-associated
GEMIN8|PF15348.7,ppa_stranded_DN4324_c0_g1_i1,1.30E-24,Gemini
GerPB|PF10803.9,ppa_stranded_DN4048_c0_g1_i1,7.20E-05,Spore
GFA|PF04828.15,PPA33279,7.30E-08,Glutathione-dependent
GFRP|PF06399.14,Contig10-snapTAU.234,4.90E-09,GTP
GFRP|PF06399.14,ppa_stranded_DN5517_c0_g1_i1,0.0016,GTP
GFRP|PF06399.14,PPA06234,3.20E-06,GTP
GFRP|PF06399.14,PPA06237,8.40E-06,GTP
GFRP|PF06399.14,PPA18542,2.80E-27,GTP
GFRP|PF06399.14,PPA33430,2.80E-28,GTP
GFRP|PF06399.14,PPA33909,1.10E-05,GTP
GFRP|PF06399.14,PPA36692,2.00E-27,GTP
GFRP|PF06399.14,PPA38857,0.0039,GTP
GFRP|PF06399.14,PPA42745,2.00E-05,GTP
GFRP|PF06399.14,PPA42750,2.40E-07,GTP
GGACT|PF06094.13,ppa_stranded_DN19091_c0_g1_i1,1.30E-24,Gamma-glutamyl
GGACT|PF06094.13,PPA05257,4.20E-47,Gamma-glutamyl
GGACT|PF06094.13,PPA46011,1.10E-07,Gamma-glutamyl
GH97_N|PF14508.7,PPA04583,0.0015,Glycosyl-hydrolase
GHMP_kinases_N|PF00288.27,PPA14457,6.90E-12,GHMP
GHMP_kinases_N|PF00288.27,PPA19170,2.20E-06,GHMP
GIDA|PF01134.23,ppa_stranded_DN12347_c0_g1_i1,0.0054,Glucose
GIDA|PF01134.23,ppa_stranded_DN21280_c0_g2_i1,7.30E-139,Glucose
GILT|PF03227.17,ppa_stranded_DN10461_c0_g1_i1,2.10E-27,Gamma
GILT|PF03227.17,ppa_stranded_DN24762_c0_g1_i2,7.10E-23,Gamma
GILT|PF03227.17,PPA04337,8.60E-36,Gamma
GILT|PF03227.17,PPA19879,3.10E-27,Gamma
GIY-YIG|PF01541.25,Iso_D.14012.4,9.00E-12,GIY-YIG
GIY-YIG|PF01541.25,PPA34708,6.90E-10,GIY-YIG
GIY-YIG|PF01541.25,PPA44216,2.60E-12,GIY-YIG
GKAP|PF03359.14,ppa_stranded_DN29206_c0_g1_i1,2.20E-16,Guanylate-kinase-associated
GLE1|PF07817.14,PPA40339,1.20E-07,GLE1-like
Gln_deamidase_2|PF18626.2,PPA41423,6.40E-08,Glutaminase
Gln-synt_C|PF00120.25,ppa_stranded_DN28711_c0_g1_i1,5.40E-18,Glutamine
Gln-synt_C|PF00120.25,ppa_stranded_DN31054_c3_g2_i2,1.90E-20,Glutamine
Gln-synt_C|PF00120.25,ppa_stranded_DN31054_c3_g7_i1,6.30E-17,Glutamine
Gln-synt_C|PF00120.25,PPA03225,1.30E-15,Glutamine
Gln-synt_C|PF00120.25,PPA05543,3.60E-18,Glutamine
Gln-synt_C|PF00120.25,PPA10292,3.70E-20,Glutamine
Gln-synt_C|PF00120.25,PPA35948,3.40E-20,Glutamine
Gln-synt_N|PF03951.20,ppa_stranded_DN31054_c1_g1_i1,5.50E-13,Glutamine
Globin|PF00042.23,Contig28-snapTAU.58,4.70E-13,Globin
Globin|PF00042.23,Contig42-snapTAU.169,2.50E-08,Globin
Globin|PF00042.23,Iso_D.13307.1,2.60E-12,Globin
Globin|PF00042.23,ppa_stranded_DN15763_c0_g1_i1,8.50E-13,Globin
Globin|PF00042.23,ppa_stranded_DN20246_c0_g1_i1,3.60E-11,Globin
Globin|PF00042.23,ppa_stranded_DN23149_c0_g3_i1,1.30E-11,Globin
Globin|PF00042.23,ppa_stranded_DN23323_c0_g1_i2,0.00024,Globin
Globin|PF00042.23,ppa_stranded_DN24109_c0_g1_i1,0.0011,Globin
Globin|PF00042.23,ppa_stranded_DN24751_c0_g2_i1,1.40E-06,Globin
Globin|PF00042.23,ppa_stranded_DN31310_c3_g1_i1,5.60E-22,Globin
Globin|PF00042.23,ppa_stranded_DN32631_c0_g1_i1,6.90E-19,Globin
Globin|PF00042.23,ppa_stranded_DN7680_c0_g1_i1,6.50E-11,Globin
Globin|PF00042.23,PPA01562,1.80E-09,Globin
Globin|PF00042.23,PPA03839,9.30E-18,Globin
Globin|PF00042.23,PPA05920,2.10E-23,Globin
Globin|PF00042.23,PPA08293,1.30E-08,Globin
Globin|PF00042.23,PPA12295,5.50E-06,Globin
Globin|PF00042.23,PPA16275,0.00031,Globin
Globin|PF00042.23,PPA16329,5.80E-06,Globin
Globin|PF00042.23,PPA17457,8.50E-13,Globin
Globin|PF00042.23,PPA17688,0.0027,Globin
Globin|PF00042.23,PPA17712,4.40E-17,Globin
Globin|PF00042.23,PPA19082,0.0034,Globin
Globin|PF00042.23,PPA19275,0.00035,Globin
Globin|PF00042.23,PPA20727,1.90E-17,Globin
Globin|PF00042.23,PPA20803,2.30E-16,Globin
Globin|PF00042.23,PPA20986,1.70E-13,Globin
Globin|PF00042.23,PPA24383,0.00051,Globin
Globin|PF00042.23,PPA24400,0.0053,Globin
Globin|PF00042.23,PPA27035,4.80E-07,Globin
Globin|PF00042.23,PPA28931,0.00049,Globin
Globin|PF00042.23,PPA29024,0.00045,Globin
Globin|PF00042.23,PPA30285,2.60E-07,Globin
Globin|PF00042.23,PPA38592,4.30E-15,Globin
Globin|PF00042.23,PPA41047,8.10E-24,Globin
Globin|PF00042.23,PPA45623,0.0035,Globin
GLTP|PF08718.12,PPA00001,2.80E-25,Glycolipid
GLTP|PF08718.12,PPA01174,5.10E-19,Glycolipid
GLTP|PF08718.12,PPA03545,2.90E-09,Glycolipid
GLTP|PF08718.12,PPA06208,3.80E-19,Glycolipid
GLTP|PF08718.12,PPA24287,2.30E-22,Glycolipid
GLTP|PF08718.12,PPA27650,5.40E-06,Glycolipid
GLTP|PF08718.12,PPA32898,5.90E-10,Glycolipid
GLTP|PF08718.12,PPA34578,7.00E-15,Glycolipid
GLTP|PF08718.12,PPA35857,3.50E-15,Glycolipid
GLTP|PF08718.12,PPA37441,3.50E-15,Glycolipid
GLTP|PF08718.12,PPA37455,5.80E-15,Glycolipid
GLTP|PF08718.12,PPA38082,2.10E-37,Glycolipid
GLTP|PF08718.12,PPA42207,3.50E-15,Glycolipid
GLTP|PF08718.12,PPA42208,3.50E-15,Glycolipid
GLTP|PF08718.12,PPA43473,3.60E-25,Glycolipid
GLTSCR1|PF15249.7,PPA42883,1.10E-12,Conserved
GLTT|PF01744.21,PPA19032,0.00088,GLTT
Gluconate_2-dh3|PF13618.7,PPA37751,0.0044,Gluconate
Glucosamine_iso|PF01182.21,ppa_stranded_DN12070_c0_g1_i1,1.10E-52,Glucosamine-6-phosphate
Glucosamine_iso|PF01182.21,PPA17840,3.10E-23,Glucosamine-6-phosphate
Glutaminase|PF04960.16,ppa_stranded_DN29185_c1_g1_i1,6.30E-113,Glutaminase
Glutaminase|PF04960.16,ppa_stranded_DN29185_c1_g1_i2,6.80E-113,Glutaminase
Glutaminase|PF04960.16,PPA18849,1.90E-110,Glutaminase
Glutaminase|PF04960.16,PPA22691,9.50E-112,Glutaminase
Glutaminase|PF04960.16,PPA36910,6.20E-26,Glutaminase
Glutaminase|PF04960.16,PPA39511,3.30E-114,Glutaminase
Glutaredoxin|PF00462.25,ppa_stranded_DN18010_c0_g3_i1,3.10E-09,Glutaredoxin
Glutaredoxin|PF00462.25,ppa_stranded_DN20645_c0_g1_i2,4.60E-16,Glutaredoxin
Glutaredoxin|PF00462.25,ppa_stranded_DN27104_c0_g1_i2,1.60E-16,Glutaredoxin
Glutaredoxin|PF00462.25,ppa_stranded_DN39731_c0_g1_i1,4.10E-19,Glutaredoxin
Glutaredoxin|PF00462.25,PPA04898,5.90E-06,Glutaredoxin
Glutaredoxin|PF00462.25,PPA12442,4.10E-16,Glutaredoxin
Glutaredoxin|PF00462.25,PPA24562,3.90E-11,Glutaredoxin
Glutaredoxin|PF00462.25,PPA32116,0.00071,Glutaredoxin
Glutaredoxin|PF00462.25,UMM-S50-4.39-mRNA-1_frag.2,1.70E-13,Glutaredoxin
Gly_acyl_tr_C|PF08444.11,Contig104-snapTAU.73,1.30E-05,Aralkyl
Gly-zipper_Omp|PF13488.7,PPA42064,0.0039,Glycine
Glyco_hydro_1|PF00232.19,PPA40324,1.70E-113,Glycosyl
Glyco_hydro_15|PF00723.22,ppa_stranded_DN28831_c0_g2_i2,2.60E-126,Glycosyl
Glyco_hydro_15|PF00723.22,PPA08899,3.40E-90,Glycosyl
Glyco_hydro_18|PF00704.29,Contig104-snapTAU.53,1.10E-13,Glycosyl
Glyco_hydro_18|PF00704.29,Contig1590-snapTAU.1,5.40E-60,Glycosyl
Glyco_hydro_18|PF00704.29,Contig200-snapTAU.2,2.80E-54,Glycosyl
Glyco_hydro_18|PF00704.29,Iso_D.10506.1,4.20E-69,Glycosyl
Glyco_hydro_18|PF00704.29,ppa_stranded_DN283_c0_g1_i1,1.10E-77,Glycosyl
Glyco_hydro_18|PF00704.29,ppa_stranded_DN29029_c0_g2_i1,1.00E-68,Glycosyl
Glyco_hydro_18|PF00704.29,ppa_stranded_DN8948_c0_g1_i1,3.30E-91,Glycosyl
Glyco_hydro_18|PF00704.29,PPA01395,4.80E-71,Glycosyl
Glyco_hydro_18|PF00704.29,PPA06942,3.70E-13,Glycosyl
Glyco_hydro_18|PF00704.29,PPA07756,4.10E-46,Glycosyl
Glyco_hydro_18|PF00704.29,PPA16049,1.30E-43,Glycosyl
Glyco_hydro_18|PF00704.29,PPA16517,8.00E-64,Glycosyl
Glyco_hydro_18|PF00704.29,PPA25143,8.20E-71,Glycosyl
Glyco_hydro_18|PF00704.29,PPA27618,1.00E-35,Glycosyl
Glyco_hydro_18|PF00704.29,PPA39293,1.30E-68,Glycosyl
Glyco_hydro_18|PF00704.29,PPA44492,8.60E-24,Glycosyl
Glyco_hydro_19|PF00182.20,PPA14242,5.60E-29,Chitinase
Glyco_hydro_19|PF00182.20,PPA34317,6.40E-30,Chitinase
Glyco_hydro_19|PF00182.20,PPA43774,1.10E-30,Chitinase
Glyco_hydro_2_C|PF02836.18,ppa_stranded_DN30515_c0_g2_i2,3.70E-71,Glycosyl
Glyco_hydro_2_C|PF02836.18,PPA02486,5.70E-64,Glycosyl
Glyco_hydro_2_C|PF02836.18,PPA38030,1.60E-50,Glycosyl
Glyco_hydro_20|PF00728.23,ppa_stranded_DN26896_c0_g1_i1,2.30E-11,Glycosyl
Glyco_hydro_20|PF00728.23,ppa_stranded_DN43908_c0_g1_i1,2.40E-88,Glycosyl
Glyco_hydro_20|PF00728.23,PPA01870,3.40E-14,Glycosyl
Glyco_hydro_20|PF00728.23,PPA12511,3.00E-12,Glycosyl
Glyco_hydro_20|PF00728.23,PPA24973,1.20E-80,Glycosyl
Glyco_hydro_20|PF00728.23,PPA29910,1.90E-06,Glycosyl
Glyco_hydro_25|PF01183.21,Contig30-snapTAU.210,0.00046,Glycosyl
Glyco_hydro_25|PF01183.21,ppa_stranded_DN22900_c0_g1_i1,8.10E-07,Glycosyl
Glyco_hydro_25|PF01183.21,ppa_stranded_DN24019_c0_g1_i1,1.50E-11,Glycosyl
Glyco_hydro_25|PF01183.21,ppa_stranded_DN24019_c0_g2_i1,3.60E-11,Glycosyl
Glyco_hydro_25|PF01183.21,ppa_stranded_DN4375_c0_g2_i1,5.30E-05,Glycosyl
Glyco_hydro_25|PF01183.21,PPA21452,3.70E-17,Glycosyl
Glyco_hydro_25|PF01183.21,PPA28774,1.40E-08,Glycosyl
Glyco_hydro_25|PF01183.21,PPA42362,3.10E-08,Glycosyl
Glyco_hydro_25|PF01183.21,PPA42412,6.80E-11,Glycosyl
Glyco_hydro_30|PF02055.17,Contig53-snapTAU.107,1.10E-131,Glycosyl
Glyco_hydro_30|PF02055.17,ppa_stranded_DN16165_c0_g1_i1,3.00E-98,Glycosyl
Glyco_hydro_30|PF02055.17,ppa_stranded_DN16165_c1_g1_i1,5.40E-27,Glycosyl
Glyco_hydro_30|PF02055.17,ppa_stranded_DN18259_c0_g2_i1,1.00E-131,Glycosyl
Glyco_hydro_30|PF02055.17,ppa_stranded_DN28710_c0_g1_i1,2.70E-124,Glycosyl
Glyco_hydro_30|PF02055.17,ppa_stranded_DN29770_c0_g1_i2,5.70E-116,Glycosyl
Glyco_hydro_30|PF02055.17,PPA10490,5.20E-117,Glycosyl
Glyco_hydro_30|PF02055.17,PPA17120,1.50E-97,Glycosyl
Glyco_hydro_30|PF02055.17,PPA31521,2.40E-79,Glycosyl
Glyco_hydro_31|PF01055.27,isototal.2369.1,2.30E-91,Glycosyl
Glyco_hydro_31|PF01055.27,ppa_stranded_DN29153_c1_g1_i5,3.40E-149,Glycosyl
Glyco_hydro_31|PF01055.27,PPA00100,1.20E-129,Glycosyl
Glyco_hydro_31|PF01055.27,PPA20156,2.60E-127,Glycosyl
Glyco_hydro_31|PF01055.27,PPA30358,4.50E-119,Glycosyl
Glyco_hydro_31|PF01055.27,PPA38162,1.50E-125,Glycosyl
Glyco_hydro_31|PF01055.27,PPA38891,3.40E-131,Glycosyl
Glyco_hydro_35|PF01301.20,PPA19074,1.70E-105,Glycosyl
Glyco_hydro_38N|PF01074.23,PPA28629,2.70E-82,Glycosyl
Glyco_hydro_38N|PF01074.23,PPA34316,2.90E-88,Glycosyl
Glyco_hydro_38N|PF01074.23,PPA35061,1.60E-82,Glycosyl
Glyco_hydro_38N|PF01074.23,PPA41717,2.40E-78,Glycosyl
Glyco_hydro_47|PF01532.21,ppa_stranded_DN25021_c0_g2_i1,3.90E-137,Glycosyl
Glyco_hydro_47|PF01532.21,ppa_stranded_DN27453_c0_g1_i1,5.80E-117,Glycosyl
Glyco_hydro_47|PF01532.21,ppa_stranded_DN30583_c0_g2_i1,4.30E-115,Glycosyl
Glyco_hydro_47|PF01532.21,PPA07443,7.40E-148,Glycosyl
Glyco_hydro_47|PF01532.21,PPA16949,4.50E-106,Glycosyl
Glyco_hydro_47|PF01532.21,PPA20096,3.10E-133,Glycosyl
Glyco_hydro_56|PF01630.19,Contig118-snapTAU.1,1.10E-53,Hyaluronidase
Glyco_hydro_56|PF01630.19,PPA13681,3.80E-87,Hyaluronidase
Glyco_hydro_63|PF03200.17,PPA13721,1.60E-154,Glycosyl
Glyco_hydro_85|PF03644.14,ppa_stranded_DN28515_c0_g1_i1,7.90E-67,Glycosyl
Glyco_tran_28_C|PF04101.17,PPA34370,3.30E-30,Glycosyltransferase
Glyco_trans_2_3|PF13632.7,PPA11308,4.60E-39,Glycosyl
Glyco_trans_2_3|PF13632.7,PPA40765,2.50E-34,Glycosyl
Glyco_trans_2_3|PF13632.7,PPA43332,1.20E-30,Glycosyl
Glyco_transf_10|PF00852.20,PPA14722,4.80E-40,Glycosyltransferase
Glyco_transf_10|PF00852.20,PPA19140,4.10E-39,Glycosyltransferase
Glyco_transf_10|PF00852.20,PPA26312,3.90E-37,Glycosyltransferase
Glyco_transf_10|PF00852.20,PPA26317,2.50E-49,Glycosyltransferase
Glyco_transf_10|PF00852.20,PPA28157,5.50E-51,Glycosyltransferase
Glyco_transf_10|PF00852.20,PPA35554,2.30E-39,Glycosyltransferase
Glyco_transf_10|PF00852.20,PPA35869,1.70E-23,Glycosyltransferase
Glyco_transf_10|PF00852.20,PPA36666,2.50E-40,Glycosyltransferase
Glyco_transf_10|PF00852.20,PPA39244,4.80E-49,Glycosyltransferase
Glyco_transf_10|PF00852.20,PPA43009,5.10E-23,Glycosyltransferase
Glyco_transf_11|PF01531.17,ppa_stranded_DN24912_c0_g1_i1,4.30E-08,Glycosyl
Glyco_transf_11|PF01531.17,ppa_stranded_DN31115_c1_g1_i1,0.0044,Glycosyl
Glyco_transf_11|PF01531.17,ppa_stranded_DN48194_c0_g1_i1,7.70E-09,Glycosyl
Glyco_transf_11|PF01531.17,PPA01713,1.30E-23,Glycosyl
Glyco_transf_11|PF01531.17,PPA40461,9.60E-09,Glycosyl
Glyco_transf_18|PF15024.7,ppa_stranded_DN27785_c0_g2_i3,1.40E-177,Glycosyltransferase
Glyco_transf_20|PF00982.22,ppa_stranded_DN28705_c0_g2_i2,1.70E-82,Glycosyltransferase
Glyco_transf_20|PF00982.22,PPA18746,2.00E-73,Glycosyltransferase
Glyco_transf_21|PF13506.7,ppa_stranded_DN28565_c0_g2_i2,1.00E-44,Glycosyl
Glyco_transf_22|PF03901.18,ppa_stranded_DN26089_c0_g1_i1,1.00E-89,Alg9-like
Glyco_transf_22|PF03901.18,ppa_stranded_DN31011_c1_g1_i1,6.70E-50,Alg9-like
Glyco_transf_24|PF18404.2,Contig1-snapTAU.193,9.70E-104,Glucosyltransferase
Glyco_transf_24|PF18404.2,ppa_stranded_DN24515_c0_g1_i1,8.90E-07,Glucosyltransferase
Glyco_transf_25|PF01755.18,PPA02567,1.50E-25,Glycosyltransferase
Glyco_transf_41|PF13844.7,Contig142-snap.16,1.30E-229,Glycosyl
Glyco_transf_41|PF13844.7,isopolya.4291.3,5.60E-106,Glycosyl
Glyco_transf_43|PF03360.17,PPA01958,4.90E-50,Glycosyltransferase
Glyco_transf_43|PF03360.17,PPA35448,3.80E-52,Glycosyltransferase
Glyco_transf_49|PF13896.7,Contig52-snapTAU.37,2.10E-30,Glycosyl-transferase
Glyco_transf_49|PF13896.7,ppa_stranded_DN16986_c1_g1_i1,9.50E-46,Glycosyl-transferase
Glyco_transf_49|PF13896.7,ppa_stranded_DN19681_c0_g1_i2,4.50E-40,Glycosyl-transferase
Glyco_transf_49|PF13896.7,ppa_stranded_DN23503_c0_g2_i1,2.10E-44,Glycosyl-transferase
Glyco_transf_49|PF13896.7,ppa_stranded_DN786_c0_g2_i1,1.30E-52,Glycosyl-transferase
Glyco_transf_49|PF13896.7,PPA15987,8.60E-58,Glycosyl-transferase
Glyco_transf_49|PF13896.7,PPA27646,0.00081,Glycosyl-transferase
Glyco_transf_49|PF13896.7,PPA32014,5.50E-56,Glycosyl-transferase
Glyco_transf_49|PF13896.7,PPA38101,2.00E-42,Glycosyl-transferase
Glyco_transf_49|PF13896.7,PPA38787,6.90E-55,Glycosyl-transferase
Glyco_transf_49|PF13896.7,PPA39605,2.70E-52,Glycosyl-transferase
Glyco_transf_49|PF13896.7,PPA40818,5.00E-43,Glycosyl-transferase
Glyco_transf_49|PF13896.7,PPA40838,3.30E-25,Glycosyl-transferase
Glyco_transf_49|PF13896.7,PPA42663,2.30E-35,Glycosyl-transferase
Glyco_transf_49|PF13896.7,UMM-S112-2.26-mRNA-1_frag,4.30E-43,Glycosyl-transferase
Glyco_transf_54|PF04666.14,PPA39841,5.00E-83,N-Acetylglucosaminyltransferase-IV
Glyco_transf_64|PF09258.11,Iso_D.1919.1,1.60E-58,Glycosyl
Glyco_transf_64|PF09258.11,PPA08297,1.10E-86,Glycosyl
Glyco_transf_64|PF09258.11,PPA15045,2.70E-57,Glycosyl
Glyco_transf_64|PF09258.11,PPA22233,2.20E-40,Glycosyl
Glyco_transf_64|PF09258.11,PPA22236,4.00E-54,Glycosyl
Glyco_transf_64|PF09258.11,PPA37596,2.60E-64,Glycosyl
Glyco_transf_64|PF09258.11,PPA40790,3.80E-70,Glycosyl
Glyco_transf_64|PF09258.11,PPA40806,4.30E-65,Glycosyl
Glyco_transf_64|PF09258.11,PPA41026,9.40E-55,Glycosyl
Glyco_transf_64|PF09258.11,PPA41754,1.40E-29,Glycosyl
Glyco_transf_64|PF09258.11,PPA42661,7.00E-68,Glycosyl
Glyco_transf_7C|PF02709.15,PPA32721,5.50E-24,N-terminal
Glyco_transf_7N|PF13733.7,PPA11881,1.90E-42,N-terminal
Glyco_transf_7N|PF13733.7,PPA39342,1.70E-36,N-terminal
Glyco_transf_7N|PF13733.7,PPA39686,1.60E-53,N-terminal
Glyco_transf_8|PF01501.21,ppa_stranded_DN26336_c0_g1_i4,4.80E-06,Glycosyl
Glyco_transf_8|PF01501.21,ppa_stranded_DN27537_c0_g1_i3,8.50E-07,Glycosyl
Glyco_transf_8|PF01501.21,PPA00445,0.00078,Glycosyl
Glyco_transf_8|PF01501.21,PPA10884,0.00049,Glycosyl
Glyco_transf_8|PF01501.21,PPA13665,5.90E-08,Glycosyl
Glyco_transf_8|PF01501.21,PPA21685,3.30E-22,Glycosyl
Glyco_transf_8|PF01501.21,PPA22234,4.00E-07,Glycosyl
Glyco_transf_8|PF01501.21,PPA40512,0.0052,Glycosyl
Glyco_transf_90|PF05686.13,ppa_stranded_DN26562_c0_g1_i2,1.40E-76,Glycosyl
Glyco_transf_90|PF05686.13,PPA31675,1.20E-50,Glycosyl
Glyco_transf_92|PF01697.28,Contig80-snapTAU.6,3.40E-29,Glycosyltransferase
Glyco_transf_92|PF01697.28,Iso_D.9496.1,2.00E-42,Glycosyltransferase
Glyco_transf_92|PF01697.28,ppa_stranded_DN21298_c1_g1_i1,2.60E-05,Glycosyltransferase
Glyco_transf_92|PF01697.28,ppa_stranded_DN23928_c0_g1_i2,8.40E-05,Glycosyltransferase
Glyco_transf_92|PF01697.28,ppa_stranded_DN24233_c0_g1_i1,5.80E-39,Glycosyltransferase
Glyco_transf_92|PF01697.28,ppa_stranded_DN25237_c0_g3_i8,1.20E-37,Glycosyltransferase
Glyco_transf_92|PF01697.28,ppa_stranded_DN29033_c1_g4_i1,1.30E-34,Glycosyltransferase
Glyco_transf_92|PF01697.28,PPA02940,5.50E-37,Glycosyltransferase
Glyco_transf_92|PF01697.28,PPA03958,0.00062,Glycosyltransferase
Glyco_transf_92|PF01697.28,PPA06301,1.80E-35,Glycosyltransferase
Glyco_transf_92|PF01697.28,PPA07295,2.80E-30,Glycosyltransferase
Glyco_transf_92|PF01697.28,PPA16069,1.60E-32,Glycosyltransferase
Glyco_transf_92|PF01697.28,PPA18632,4.50E-34,Glycosyltransferase
Glyco_transf_92|PF01697.28,PPA19957,2.10E-35,Glycosyltransferase
Glyco_transf_92|PF01697.28,PPA22223,7.20E-29,Glycosyltransferase
Glyco_transf_92|PF01697.28,PPA36888,8.70E-34,Glycosyltransferase
Glyco_transf_92|PF01697.28,PPA37797,1.50E-13,Glycosyltransferase
Glyco_transf_92|PF01697.28,PPA43038,1.30E-37,Glycosyltransferase
Glycogen_syn|PF05693.14,Iso_D.3013.1,0,Glycogen
Glycolytic|PF00274.20,PPA02512,2.20E-171,Fructose-bisphosphate
Glycolytic|PF00274.20,PPA38011,7.30E-167,Fructose-bisphosphate
Glycophorin_A|PF01102.19,ppa_stranded_DN29134_c0_g1_i2,6.00E-04,Glycophorin
Glycophorin_A|PF01102.19,PPA38003,0.00011,Glycophorin
Glycoprotein|PF03409.16,ppa_stranded_DN10310_c0_g1_i1,0.0016,Transmembrane
Glycos_transf_1|PF00534.21,ppa_stranded_DN26968_c0_g1_i1,2.00E-12,Glycosyl
Glycos_transf_1|PF00534.21,PPA27327,5.60E-25,Glycosyl
Glycos_transf_1|PF00534.21,PPA28347,2.40E-35,Glycosyl
Glycos_transf_2|PF00535.27,isopolya.1164.1,2.10E-28,Glycosyl
Glycos_transf_2|PF00535.27,ppa_stranded_DN17870_c0_g1_i2,6.60E-31,Glycosyl
Glycos_transf_2|PF00535.27,ppa_stranded_DN20765_c0_g1_i3,3.50E-23,Glycosyl
Glycos_transf_2|PF00535.27,ppa_stranded_DN25101_c0_g1_i2,1.90E-32,Glycosyl
Glycos_transf_2|PF00535.27,ppa_stranded_DN25668_c0_g1_i1,4.40E-23,Glycosyl
Glycos_transf_2|PF00535.27,ppa_stranded_DN29508_c0_g5_i6,6.40E-18,Glycosyl
Glycos_transf_2|PF00535.27,ppa_stranded_DN30564_c0_g1_i12,2.80E-25,Glycosyl
Glycos_transf_2|PF00535.27,PPA01590,8.60E-29,Glycosyl
Glycos_transf_2|PF00535.27,PPA10316,2.40E-36,Glycosyl
Glycos_transf_2|PF00535.27,PPA11299,3.40E-31,Glycosyl
Glycos_transf_2|PF00535.27,PPA11721,8.60E-31,Glycosyl
Glycos_transf_2|PF00535.27,PPA15255,9.00E-32,Glycosyl
Glycos_transf_4|PF00953.22,ppa_stranded_DN18803_c0_g1_i1,2.90E-34,Glycosyl
Glyoxalase_4|PF13669.7,PPA39850,3.60E-20,Glyoxalase/Bleomycin
Glyoxalase|PF00903.26,ppa_stranded_DN23331_c0_g1_i3,3.40E-22,Glyoxalase/Bleomycin
Glyoxalase|PF00903.26,ppa_stranded_DN26147_c0_g1_i2,2.90E-25,Glyoxalase/Bleomycin
Glyoxalase|PF00903.26,ppa_stranded_DN31219_c1_g1_i1,7.20E-11,Glyoxalase/Bleomycin
Glypican|PF01153.20,PPA27314,1.60E-69,Glypican
GMC_oxred_N|PF00732.20,ppa_stranded_DN27994_c1_g1_i4,2.60E-85,GMC
